Name,fd_48035_sfd_48041_s | fd_48047_s | fd_48053_s | fd_48059_s | fd_48066_s | fd_48072_s | fd_48078_s | fd_48084_s | fd_48090_s | fd_48096_s | fd_48102_s | fd_48108_s | fd_48114_s | fd_48120_s | fd_48126_s | fd_48132_s | fd_48138_s | fd_48144_s | fd_48151_s | fd_48158_s | fd_48164_s | fd_48170_s | fd_48176_s | fd_48182_s | fd_48188_s | fd_48194_s | fd_48200_s | fd_48206_s | fd_48212_s | fd_48218_s | fd_48224_s | fd_48230_s | fd_48236_s | fd_48242_s | fd_48248_s | fd_48254_s | fd_48260_s | fd_48266_s | fd_48272_s | fd_48278_s | fd_48284_s | fd_48290_s | fd_48296_s | fd_48302_s | fd_48308_s | 
"ARTstor Workspace, Cornell: Selections from the Anthropology Collections: Published On",publishing_status-283-updated_on
"Shared Shelf Commons, Cornell: Images from the Rare Book and Manuscript Collections: Status",publishing_status.553.status
Event Number,fd_43533_s
"ARTstor Workspace, Cornell: The Experimental Television Center Video Archives: Published By",publishing_status.421.updated_by
"Shared Shelf Commons, Cornell: Willard D. Straight in Korea: Status",publishing_status.145.status
First line number,fd_26723_s
Resource Type,fd_4115_s
"Shared Shelf Commons, Cornell: Cast Collection: Status",publishing_status.195.status
Associated Text,fd_65870_s
Date Type,fd_4489_s
"Shared Shelf Commons, Cornell: New York Call Photographs: Status",publishing_status.276.status
Work_StylePeriodDisplay,fd_35654_lookupfd_46674_lookup | fd_21171_lookup | fd_21247_lookup | fd_5647_lookup | 
Restrictions on Use and Reproduction,fd_28695_s
Identifier,fd_4538_sfd_5541_s | fd_6347_s | fd_3983_s | 
Column Number,fd_26719_s
"Shared Shelf Commons, Billie Jean Isbell Andean Collection: Published On",publishing_status-101-updated_on
Short Title,fd_30085_sfd_58229_s | 
Classification,fd_4823_sfd_31590_s | fd_2394_s | fd_2382_s | 
"ARTstor Workspace, Cornell: Alison Mason Kingsbury: Life and Art: Status",publishing_status.148.status
Negative Type,fd_6455_s
"Shared Shelf Commons, Cornell: Hip Hop Party and Event Flyers: Status",publishing_status.200.status
Analog Creators,fd_31639_s
Materials,fd_15743_s
Performers,fd_42454_lookup
Storage Container Type,fd_51078_s
Box,fd_65595_sfd_18249_s | 
SFS Location,fd_56972_s
Negative Number,fd_5348_s
Order Number,fd_31394_sfd_5057_s | fd_31522_s | fd_21840_s | 
People (Names) - Roman Characters,fd_38351_s
Hamlet (Roman Characters),fd_56410_s
Provenance / Owner,fd_20076_s
